id,text,category
62,This is a sample text for document 62,Category_G
63,This is a sample text for document 63,Category_C
64,This is a sample text for document 64,Category_A
65,This is a sample text for document 65,Category_F
66,This is a sample text for document 66,Category_C
67,This is a sample text for document 67,Category_E
68,This is a sample text for document 68,Category_B
69,This is a sample text for document 69,Category_D
70,This is a sample text for document 70,Category_C
71,This is a sample text for document 71,Category_A
72,This is a sample text for document 72,Category_A
73,This is a sample text for document 73,Category_E
74,This is a sample text for document 74,Category_A
75,This is a sample text for document 75,Category_E
76,This is a sample text for document 76,Category_B
77,This is a sample text for document 77,Category_E
78,This is a sample text for document 78,Category_A
79,This is a sample text for document 79,Category_B
80,This is a sample text for document 80,Category_A
81,This is a sample text for document 81,Category_E
82,This is a sample text for document 82,Category_A
83,This is a sample text for document 83,Category_F
84,This is a sample text for document 84,Category_A
85,This is a sample text for document 85,Category_B
86,This is a sample text for document 86,Category_A
87,This is a sample text for document 87,Category_D
88,This is a sample text for document 88,Category_A
89,This is a sample text for document 89,Category_G
90,This is a sample text for document 90,Category_C
91,This is a sample text for document 91,Category_C
92,This is a sample text for document 92,Category_G
93,This is a sample text for document 93,Category_E
94,This is a sample text for document 94,Category_G
95,This is a sample text for document 95,Category_G
96,This is a sample text for document 96,Category_E
97,This is a sample text for document 97,Category_C
98,This is a sample text for document 98,Category_A
99,This is a sample text for document 99,Category_B
100,This is a sample text for document 100,Category_C
101,This is a sample text for document 101,Category_A
102,This is a sample text for document 102,Category_G
103,This is a sample text for document 103,Category_A
104,This is a sample text for document 104,Category_A
105,This is a sample text for document 105,Category_A
106,This is a sample text for document 106,Category_C
107,This is a sample text for document 107,Category_A
108,This is a sample text for document 108,Category_C
109,This is a sample text for document 109,Category_C
110,This is a sample text for document 110,Category_B
111,This is a sample text for document 111,Category_F
112,This is a sample text for document 112,Category_B
113,This is a sample text for document 113,Category_B
114,This is a sample text for document 114,Category_G
115,This is a sample text for document 115,Category_A
116,This is a sample text for document 116,Category_B
117,This is a sample text for document 117,Category_B
118,This is a sample text for document 118,Category_B
119,This is a sample text for document 119,Category_C
120,This is a sample text for document 120,Category_C
121,This is a sample text for document 121,Category_B
122,This is a sample text for document 122,Category_D
123,This is a sample text for document 123,Category_A
124,This is a sample text for document 124,Category_F
125,This is a sample text for document 125,Category_A
126,This is a sample text for document 126,Category_B
127,This is a sample text for document 127,Category_E
128,This is a sample text for document 128,Category_A
129,This is a sample text for document 129,Category_E
130,This is a sample text for document 130,Category_F
131,This is a sample text for document 131,Category_F
132,This is a sample text for document 132,Category_E
133,This is a sample text for document 133,Category_G
134,This is a sample text for document 134,Category_B
135,This is a sample text for document 135,Category_D
136,This is a sample text for document 136,Category_A
137,This is a sample text for document 137,Category_E
138,This is a sample text for document 138,Category_C
139,This is a sample text for document 139,Category_G
140,This is a sample text for document 140,Category_A
141,This is a sample text for document 141,Category_C
142,This is a sample text for document 142,Category_F
143,This is a sample text for document 143,Category_B
144,This is a sample text for document 144,Category_E
145,This is a sample text for document 145,Category_C
146,This is a sample text for document 146,Category_F
147,This is a sample text for document 147,Category_G
148,This is a sample text for document 148,Category_G
149,This is a sample text for document 149,Category_D
150,This is a sample text for document 150,Category_D
151,This is a sample text for document 151,Category_D
152,This is a sample text for document 152,Category_E
153,This is a sample text for document 153,Category_D
154,This is a sample text for document 154,Category_A
155,This is a sample text for document 155,Category_G
156,This is a sample text for document 156,Category_F
157,This is a sample text for document 157,Category_D
158,This is a sample text for document 158,Category_D
159,This is a sample text for document 159,Category_E
160,This is a sample text for document 160,Category_E
161,This is a sample text for document 161,Category_E
162,This is a sample text for document 162,Category_C
163,This is a sample text for document 163,Category_D
164,This is a sample text for document 164,Category_G
165,This is a sample text for document 165,Category_E
166,This is a sample text for document 166,Category_B
167,This is a sample text for document 167,Category_E
168,This is a sample text for document 168,Category_D
169,This is a sample text for document 169,Category_E
170,This is a sample text for document 170,Category_F
171,This is a sample text for document 171,Category_G
172,This is a sample text for document 172,Category_F
173,This is a sample text for document 173,Category_C
174,This is a sample text for document 174,Category_G
175,This is a sample text for document 175,Category_C
176,This is a sample text for document 176,Category_B
177,This is a sample text for document 177,Category_C
178,This is a sample text for document 178,Category_C
179,This is a sample text for document 179,Category_A
180,This is a sample text for document 180,Category_F
181,This is a sample text for document 181,Category_E
182,This is a sample text for document 182,Category_D
183,This is a sample text for document 183,Category_D
184,This is a sample text for document 184,Category_G
185,This is a sample text for document 185,Category_C
186,This is a sample text for document 186,Category_E
187,This is a sample text for document 187,Category_B
188,This is a sample text for document 188,Category_B
189,This is a sample text for document 189,Category_B
190,This is a sample text for document 190,Category_C
191,This is a sample text for document 191,Category_F
192,This is a sample text for document 192,Category_E
193,This is a sample text for document 193,Category_D
194,This is a sample text for document 194,Category_F
195,This is a sample text for document 195,Category_G
196,This is a sample text for document 196,Category_A
197,This is a sample text for document 197,Category_E
198,This is a sample text for document 198,Category_B
199,This is a sample text for document 199,Category_B
200,This is a sample text for document 200,Category_D
201,This is a sample text for document 201,Category_D
202,This is a sample text for document 202,Category_F
203,This is a sample text for document 203,Category_D
204,This is a sample text for document 204,Category_A
205,This is a sample text for document 205,Category_E
206,This is a sample text for document 206,Category_F
207,This is a sample text for document 207,Category_D
208,This is a sample text for document 208,Category_B
209,This is a sample text for document 209,Category_A
210,This is a sample text for document 210,Category_B
211,This is a sample text for document 211,Category_F
212,This is a sample text for document 212,Category_E
213,This is a sample text for document 213,Category_F
214,This is a sample text for document 214,Category_B
215,This is a sample text for document 215,Category_D
216,This is a sample text for document 216,Category_D
217,This is a sample text for document 217,Category_G
218,This is a sample text for document 218,Category_G
219,This is a sample text for document 219,Category_G
220,This is a sample text for document 220,Category_F
221,This is a sample text for document 221,Category_F
222,This is a sample text for document 222,Category_C
223,This is a sample text for document 223,Category_B
224,This is a sample text for document 224,Category_C
225,This is a sample text for document 225,Category_C
226,This is a sample text for document 226,Category_C
227,This is a sample text for document 227,Category_D
228,This is a sample text for document 228,Category_D
229,This is a sample text for document 229,Category_F
230,This is a sample text for document 230,Category_E
231,This is a sample text for document 231,Category_D
232,This is a sample text for document 232,Category_F
233,This is a sample text for document 233,Category_A
234,This is a sample text for document 234,Category_F
235,This is a sample text for document 235,Category_E
236,This is a sample text for document 236,Category_D
237,This is a sample text for document 237,Category_A
238,This is a sample text for document 238,Category_F
239,This is a sample text for document 239,Category_A
240,This is a sample text for document 240,Category_E
241,This is a sample text for document 241,Category_G
242,This is a sample text for document 242,Category_B
243,This is a sample text for document 243,Category_B
244,This is a sample text for document 244,Category_A
245,This is a sample text for document 245,Category_E
246,This is a sample text for document 246,Category_C
247,This is a sample text for document 247,Category_G
248,This is a sample text for document 248,Category_F
249,This is a sample text for document 249,Category_C
250,This is a sample text for document 250,Category_E
251,This is a sample text for document 251,Category_E
252,This is a sample text for document 252,Category_G
253,This is a sample text for document 253,Category_D
254,This is a sample text for document 254,Category_B
255,This is a sample text for document 255,Category_G
256,This is a sample text for document 256,Category_G
257,This is a sample text for document 257,Category_D
258,This is a sample text for document 258,Category_C
259,This is a sample text for document 259,Category_A
260,This is a sample text for document 260,Category_A
261,This is a sample text for document 261,Category_G
262,This is a sample text for document 262,Category_F
263,This is a sample text for document 263,Category_A
264,This is a sample text for document 264,Category_E
265,This is a sample text for document 265,Category_A
266,This is a sample text for document 266,Category_D
267,This is a sample text for document 267,Category_C
268,This is a sample text for document 268,Category_E
269,This is a sample text for document 269,Category_D
270,This is a sample text for document 270,Category_C
271,This is a sample text for document 271,Category_F
272,This is a sample text for document 272,Category_C
273,This is a sample text for document 273,Category_F
274,This is a sample text for document 274,Category_B
275,This is a sample text for document 275,Category_D
276,This is a sample text for document 276,Category_C
277,This is a sample text for document 277,Category_G
278,This is a sample text for document 278,Category_C
279,This is a sample text for document 279,Category_B
280,This is a sample text for document 280,Category_D
281,This is a sample text for document 281,Category_F
282,This is a sample text for document 282,Category_C
283,This is a sample text for document 283,Category_F
284,This is a sample text for document 284,Category_C
285,This is a sample text for document 285,Category_F
286,This is a sample text for document 286,Category_E
287,This is a sample text for document 287,Category_F
288,This is a sample text for document 288,Category_A
289,This is a sample text for document 289,Category_A
290,This is a sample text for document 290,Category_F
291,This is a sample text for document 291,Category_E
292,This is a sample text for document 292,Category_D
293,This is a sample text for document 293,Category_G
294,This is a sample text for document 294,Category_E
295,This is a sample text for document 295,Category_C
296,This is a sample text for document 296,Category_G
297,This is a sample text for document 297,Category_F
298,This is a sample text for document 298,Category_E
299,This is a sample text for document 299,Category_B
300,This is a sample text for document 300,Category_F
301,This is a sample text for document 301,Category_C
302,This is a sample text for document 302,Category_G
303,This is a sample text for document 303,Category_E
304,This is a sample text for document 304,Category_A
305,This is a sample text for document 305,Category_D
306,This is a sample text for document 306,Category_D
307,This is a sample text for document 307,Category_C
308,This is a sample text for document 308,Category_D
309,This is a sample text for document 309,Category_E
310,This is a sample text for document 310,Category_F
311,This is a sample text for document 311,Category_G
312,This is a sample text for document 312,Category_B
313,This is a sample text for document 313,Category_B
314,This is a sample text for document 314,Category_E
315,This is a sample text for document 315,Category_D
316,This is a sample text for document 316,Category_C
317,This is a sample text for document 317,Category_D
318,This is a sample text for document 318,Category_G
319,This is a sample text for document 319,Category_D
320,This is a sample text for document 320,Category_D
321,This is a sample text for document 321,Category_C
322,This is a sample text for document 322,Category_E
323,This is a sample text for document 323,Category_D
324,This is a sample text for document 324,Category_B
325,This is a sample text for document 325,Category_C
326,This is a sample text for document 326,Category_F
327,This is a sample text for document 327,Category_D
328,This is a sample text for document 328,Category_E
329,This is a sample text for document 329,Category_C
330,This is a sample text for document 330,Category_D
331,This is a sample text for document 331,Category_A
332,This is a sample text for document 332,Category_G
333,This is a sample text for document 333,Category_E
334,This is a sample text for document 334,Category_D
335,This is a sample text for document 335,Category_F
336,This is a sample text for document 336,Category_E
337,This is a sample text for document 337,Category_B
338,This is a sample text for document 338,Category_G
339,This is a sample text for document 339,Category_B
340,This is a sample text for document 340,Category_B
341,This is a sample text for document 341,Category_C
342,This is a sample text for document 342,Category_D
343,This is a sample text for document 343,Category_E
344,This is a sample text for document 344,Category_D
345,This is a sample text for document 345,Category_C
346,This is a sample text for document 346,Category_B
347,This is a sample text for document 347,Category_D
348,This is a sample text for document 348,Category_D
349,This is a sample text for document 349,Category_E
350,This is a sample text for document 350,Category_C
351,This is a sample text for document 351,Category_F
352,This is a sample text for document 352,Category_A
353,This is a sample text for document 353,Category_D
354,This is a sample text for document 354,Category_D
355,This is a sample text for document 355,Category_A
356,This is a sample text for document 356,Category_C
357,This is a sample text for document 357,Category_G
358,This is a sample text for document 358,Category_G
359,This is a sample text for document 359,Category_D
360,This is a sample text for document 360,Category_C
361,This is a sample text for document 361,Category_B
362,This is a sample text for document 362,Category_E
363,This is a sample text for document 363,Category_C
364,This is a sample text for document 364,Category_G
365,This is a sample text for document 365,Category_A
366,This is a sample text for document 366,Category_E
367,This is a sample text for document 367,Category_A
368,This is a sample text for document 368,Category_C
369,This is a sample text for document 369,Category_B
370,This is a sample text for document 370,Category_F
371,This is a sample text for document 371,Category_D
372,This is a sample text for document 372,Category_E
373,This is a sample text for document 373,Category_D
374,This is a sample text for document 374,Category_F
375,This is a sample text for document 375,Category_D
376,This is a sample text for document 376,Category_G
377,This is a sample text for document 377,Category_E
378,This is a sample text for document 378,Category_A
379,This is a sample text for document 379,Category_A
380,This is a sample text for document 380,Category_E
381,This is a sample text for document 381,Category_D
382,This is a sample text for document 382,Category_B
383,This is a sample text for document 383,Category_A
384,This is a sample text for document 384,Category_F
385,This is a sample text for document 385,Category_D
386,This is a sample text for document 386,Category_B
387,This is a sample text for document 387,Category_F
388,This is a sample text for document 388,Category_G
389,This is a sample text for document 389,Category_B
390,This is a sample text for document 390,Category_B
391,This is a sample text for document 391,Category_A
392,This is a sample text for document 392,Category_A
393,This is a sample text for document 393,Category_G
394,This is a sample text for document 394,Category_A
395,This is a sample text for document 395,Category_B
396,This is a sample text for document 396,Category_G
397,This is a sample text for document 397,Category_G
398,This is a sample text for document 398,Category_C
399,This is a sample text for document 399,Category_D
400,This is a sample text for document 400,Category_F
401,This is a sample text for document 401,Category_B
402,This is a sample text for document 402,Category_C
403,This is a sample text for document 403,Category_C
404,This is a sample text for document 404,Category_B
405,This is a sample text for document 405,Category_D
406,This is a sample text for document 406,Category_C
407,This is a sample text for document 407,Category_A
408,This is a sample text for document 408,Category_B
409,This is a sample text for document 409,Category_C
410,This is a sample text for document 410,Category_C
411,This is a sample text for document 411,Category_G
412,This is a sample text for document 412,Category_G
413,This is a sample text for document 413,Category_F
414,This is a sample text for document 414,Category_C
415,This is a sample text for document 415,Category_C
416,This is a sample text for document 416,Category_B
417,This is a sample text for document 417,Category_B
418,This is a sample text for document 418,Category_E
419,This is a sample text for document 419,Category_C
420,This is a sample text for document 420,Category_G
421,This is a sample text for document 421,Category_B
422,This is a sample text for document 422,Category_E
423,This is a sample text for document 423,Category_D
424,This is a sample text for document 424,Category_E
425,This is a sample text for document 425,Category_A
426,This is a sample text for document 426,Category_F
427,This is a sample text for document 427,Category_E
428,This is a sample text for document 428,Category_D
429,This is a sample text for document 429,Category_D
430,This is a sample text for document 430,Category_F
431,This is a sample text for document 431,Category_B
432,This is a sample text for document 432,Category_F
433,This is a sample text for document 433,Category_F
434,This is a sample text for document 434,Category_G
435,This is a sample text for document 435,Category_B
436,This is a sample text for document 436,Category_E
437,This is a sample text for document 437,Category_E
438,This is a sample text for document 438,Category_F
439,This is a sample text for document 439,Category_D
440,This is a sample text for document 440,Category_D
441,This is a sample text for document 441,Category_A
442,This is a sample text for document 442,Category_G
443,This is a sample text for document 443,Category_A
444,This is a sample text for document 444,Category_B
445,This is a sample text for document 445,Category_F
446,This is a sample text for document 446,Category_E
447,This is a sample text for document 447,Category_A
448,This is a sample text for document 448,Category_A
449,This is a sample text for document 449,Category_C
450,This is a sample text for document 450,Category_G
451,This is a sample text for document 451,Category_F
452,This is a sample text for document 452,Category_E
453,This is a sample text for document 453,Category_B
454,This is a sample text for document 454,Category_C
455,This is a sample text for document 455,Category_C
456,This is a sample text for document 456,Category_E
457,This is a sample text for document 457,Category_A
458,This is a sample text for document 458,Category_C
459,This is a sample text for document 459,Category_C
460,This is a sample text for document 460,Category_G
461,This is a sample text for document 461,Category_A
462,This is a sample text for document 462,Category_D
463,This is a sample text for document 463,Category_B
464,This is a sample text for document 464,Category_A
465,This is a sample text for document 465,Category_C
466,This is a sample text for document 466,Category_F
467,This is a sample text for document 467,Category_E
468,This is a sample text for document 468,Category_C
469,This is a sample text for document 469,Category_F
470,This is a sample text for document 470,Category_G
471,This is a sample text for document 471,Category_E
472,This is a sample text for document 472,Category_C
473,This is a sample text for document 473,Category_C
474,This is a sample text for document 474,Category_C
475,This is a sample text for document 475,Category_B
476,This is a sample text for document 476,Category_A
477,This is a sample text for document 477,Category_E
478,This is a sample text for document 478,Category_E
479,This is a sample text for document 479,Category_A
480,This is a sample text for document 480,Category_D
481,This is a sample text for document 481,Category_G
482,This is a sample text for document 482,Category_D
483,This is a sample text for document 483,Category_C
484,This is a sample text for document 484,Category_D
485,This is a sample text for document 485,Category_A
486,This is a sample text for document 486,Category_C
487,This is a sample text for document 487,Category_F
488,This is a sample text for document 488,Category_B
489,This is a sample text for document 489,Category_D
490,This is a sample text for document 490,Category_G
491,This is a sample text for document 491,Category_A
492,This is a sample text for document 492,Category_E
493,This is a sample text for document 493,Category_F
494,This is a sample text for document 494,Category_C
495,This is a sample text for document 495,Category_F
496,This is a sample text for document 496,Category_A
497,This is a sample text for document 497,Category_D
498,This is a sample text for document 498,Category_A
499,This is a sample text for document 499,Category_C
500,This is a sample text for document 500,Category_G
501,This is a sample text for document 501,Category_F
502,This is a sample text for document 502,Category_E
503,This is a sample text for document 503,Category_G
504,This is a sample text for document 504,Category_F
505,This is a sample text for document 505,Category_E
506,This is a sample text for document 506,Category_B
507,This is a sample text for document 507,Category_C
508,This is a sample text for document 508,Category_F
509,This is a sample text for document 509,Category_D
510,This is a sample text for document 510,Category_D
511,This is a sample text for document 511,Category_B
512,This is a sample text for document 512,Category_E
513,This is a sample text for document 513,Category_B
514,This is a sample text for document 514,Category_D
515,This is a sample text for document 515,Category_E
516,This is a sample text for document 516,Category_G
517,This is a sample text for document 517,Category_A
518,This is a sample text for document 518,Category_A
519,This is a sample text for document 519,Category_C
520,This is a sample text for document 520,Category_A
521,This is a sample text for document 521,Category_E
522,This is a sample text for document 522,Category_G
523,This is a sample text for document 523,Category_D
524,This is a sample text for document 524,Category_B
525,This is a sample text for document 525,Category_G
526,This is a sample text for document 526,Category_D
527,This is a sample text for document 527,Category_D
528,This is a sample text for document 528,Category_C
529,This is a sample text for document 529,Category_E
530,This is a sample text for document 530,Category_G
531,This is a sample text for document 531,Category_D
532,This is a sample text for document 532,Category_G
533,This is a sample text for document 533,Category_A
534,This is a sample text for document 534,Category_G
535,This is a sample text for document 535,Category_B
536,This is a sample text for document 536,Category_C
537,This is a sample text for document 537,Category_B
538,This is a sample text for document 538,Category_C
539,This is a sample text for document 539,Category_D
540,This is a sample text for document 540,Category_C
541,This is a sample text for document 541,Category_E
542,This is a sample text for document 542,Category_E
543,This is a sample text for document 543,Category_B
544,This is a sample text for document 544,Category_G
545,This is a sample text for document 545,Category_E
546,This is a sample text for document 546,Category_F
547,This is a sample text for document 547,Category_E
548,This is a sample text for document 548,Category_B
549,This is a sample text for document 549,Category_E
550,This is a sample text for document 550,Category_E
551,This is a sample text for document 551,Category_D
552,This is a sample text for document 552,Category_B
553,This is a sample text for document 553,Category_G
554,This is a sample text for document 554,Category_G
555,This is a sample text for document 555,Category_D
556,This is a sample text for document 556,Category_A
557,This is a sample text for document 557,Category_A
558,This is a sample text for document 558,Category_G
559,This is a sample text for document 559,Category_E
560,This is a sample text for document 560,Category_A
561,This is a sample text for document 561,Category_D
562,This is a sample text for document 562,Category_A
563,This is a sample text for document 563,Category_E
564,This is a sample text for document 564,Category_B
565,This is a sample text for document 565,Category_E
566,This is a sample text for document 566,Category_F
567,This is a sample text for document 567,Category_B
568,This is a sample text for document 568,Category_E
569,This is a sample text for document 569,Category_B
570,This is a sample text for document 570,Category_F
571,This is a sample text for document 571,Category_D
572,This is a sample text for document 572,Category_E
573,This is a sample text for document 573,Category_C
574,This is a sample text for document 574,Category_F
575,This is a sample text for document 575,Category_G
576,This is a sample text for document 576,Category_D
577,This is a sample text for document 577,Category_E
578,This is a sample text for document 578,Category_A
579,This is a sample text for document 579,Category_F
580,This is a sample text for document 580,Category_E
581,This is a sample text for document 581,Category_D
582,This is a sample text for document 582,Category_A
583,This is a sample text for document 583,Category_D
584,This is a sample text for document 584,Category_A
585,This is a sample text for document 585,Category_F
586,This is a sample text for document 586,Category_E
587,This is a sample text for document 587,Category_A
588,This is a sample text for document 588,Category_G
589,This is a sample text for document 589,Category_B
590,This is a sample text for document 590,Category_F
591,This is a sample text for document 591,Category_F
592,This is a sample text for document 592,Category_B
593,This is a sample text for document 593,Category_C
594,This is a sample text for document 594,Category_B
595,This is a sample text for document 595,Category_E
596,This is a sample text for document 596,Category_F
597,This is a sample text for document 597,Category_E
598,This is a sample text for document 598,Category_F
599,This is a sample text for document 599,Category_D
600,This is a sample text for document 600,Category_G
601,This is a sample text for document 601,Category_F
602,This is a sample text for document 602,Category_C
603,This is a sample text for document 603,Category_B
604,This is a sample text for document 604,Category_A
605,This is a sample text for document 605,Category_E
606,This is a sample text for document 606,Category_F
607,This is a sample text for document 607,Category_D
608,This is a sample text for document 608,Category_C
609,This is a sample text for document 609,Category_B
610,This is a sample text for document 610,Category_B
611,This is a sample text for document 611,Category_C
612,This is a sample text for document 612,Category_A
613,This is a sample text for document 613,Category_A
614,This is a sample text for document 614,Category_A
615,This is a sample text for document 615,Category_A
616,This is a sample text for document 616,Category_A
617,This is a sample text for document 617,Category_D
618,This is a sample text for document 618,Category_A
619,This is a sample text for document 619,Category_F
620,This is a sample text for document 620,Category_E
621,This is a sample text for document 621,Category_A
622,This is a sample text for document 622,Category_D
623,This is a sample text for document 623,Category_B
624,This is a sample text for document 624,Category_A
625,This is a sample text for document 625,Category_B
626,This is a sample text for document 626,Category_D
627,This is a sample text for document 627,Category_G
628,This is a sample text for document 628,Category_C
629,This is a sample text for document 629,Category_E
630,This is a sample text for document 630,Category_B
631,This is a sample text for document 631,Category_E
632,This is a sample text for document 632,Category_F
633,This is a sample text for document 633,Category_F
634,This is a sample text for document 634,Category_D
635,This is a sample text for document 635,Category_D
636,This is a sample text for document 636,Category_A
637,This is a sample text for document 637,Category_F
638,This is a sample text for document 638,Category_C
639,This is a sample text for document 639,Category_A
640,This is a sample text for document 640,Category_F
641,This is a sample text for document 641,Category_A
642,This is a sample text for document 642,Category_A
643,This is a sample text for document 643,Category_B
644,This is a sample text for document 644,Category_G
645,This is a sample text for document 645,Category_E
646,This is a sample text for document 646,Category_C
647,This is a sample text for document 647,Category_G
648,This is a sample text for document 648,Category_G
649,This is a sample text for document 649,Category_B
650,This is a sample text for document 650,Category_C
651,This is a sample text for document 651,Category_B
652,This is a sample text for document 652,Category_C
653,This is a sample text for document 653,Category_F
654,This is a sample text for document 654,Category_E
655,This is a sample text for document 655,Category_D
656,This is a sample text for document 656,Category_A
657,This is a sample text for document 657,Category_F
658,This is a sample text for document 658,Category_D
659,This is a sample text for document 659,Category_E
660,This is a sample text for document 660,Category_A
661,This is a sample text for document 661,Category_D
662,This is a sample text for document 662,Category_D
663,This is a sample text for document 663,Category_D
664,This is a sample text for document 664,Category_G
665,This is a sample text for document 665,Category_D
666,This is a sample text for document 666,Category_F
667,This is a sample text for document 667,Category_A
668,This is a sample text for document 668,Category_D
669,This is a sample text for document 669,Category_F
670,This is a sample text for document 670,Category_D
671,This is a sample text for document 671,Category_E
672,This is a sample text for document 672,Category_E
673,This is a sample text for document 673,Category_C
674,This is a sample text for document 674,Category_G
675,This is a sample text for document 675,Category_A
676,This is a sample text for document 676,Category_B
677,This is a sample text for document 677,Category_C
678,This is a sample text for document 678,Category_A
679,This is a sample text for document 679,Category_B
680,This is a sample text for document 680,Category_E
681,This is a sample text for document 681,Category_E
682,This is a sample text for document 682,Category_D
683,This is a sample text for document 683,Category_A
684,This is a sample text for document 684,Category_A
685,This is a sample text for document 685,Category_B
686,This is a sample text for document 686,Category_F
687,This is a sample text for document 687,Category_F
688,This is a sample text for document 688,Category_E
689,This is a sample text for document 689,Category_E
690,This is a sample text for document 690,Category_C
691,This is a sample text for document 691,Category_G
692,This is a sample text for document 692,Category_G
693,This is a sample text for document 693,Category_A
694,This is a sample text for document 694,Category_F
695,This is a sample text for document 695,Category_D
696,This is a sample text for document 696,Category_D
697,This is a sample text for document 697,Category_A
698,This is a sample text for document 698,Category_D
699,This is a sample text for document 699,Category_D
700,This is a sample text for document 700,Category_G
701,This is a sample text for document 701,Category_B
702,This is a sample text for document 702,Category_C
703,This is a sample text for document 703,Category_G
704,This is a sample text for document 704,Category_G
705,This is a sample text for document 705,Category_G
706,This is a sample text for document 706,Category_F
707,This is a sample text for document 707,Category_A
708,This is a sample text for document 708,Category_E
709,This is a sample text for document 709,Category_G
710,This is a sample text for document 710,Category_G
711,This is a sample text for document 711,Category_B
712,This is a sample text for document 712,Category_A
713,This is a sample text for document 713,Category_B
714,This is a sample text for document 714,Category_A
715,This is a sample text for document 715,Category_B
716,This is a sample text for document 716,Category_E
717,This is a sample text for document 717,Category_C
718,This is a sample text for document 718,Category_B
719,This is a sample text for document 719,Category_F
720,This is a sample text for document 720,Category_G
721,This is a sample text for document 721,Category_F
722,This is a sample text for document 722,Category_D
723,This is a sample text for document 723,Category_E
724,This is a sample text for document 724,Category_D
725,This is a sample text for document 725,Category_C
726,This is a sample text for document 726,Category_B
727,This is a sample text for document 727,Category_D
728,This is a sample text for document 728,Category_C
729,This is a sample text for document 729,Category_D
730,This is a sample text for document 730,Category_E
731,This is a sample text for document 731,Category_A
732,This is a sample text for document 732,Category_A
733,This is a sample text for document 733,Category_F
734,This is a sample text for document 734,Category_E
735,This is a sample text for document 735,Category_A
736,This is a sample text for document 736,Category_F
737,This is a sample text for document 737,Category_F
738,This is a sample text for document 738,Category_G
739,This is a sample text for document 739,Category_C
740,This is a sample text for document 740,Category_G
741,This is a sample text for document 741,Category_F
742,This is a sample text for document 742,Category_C
743,This is a sample text for document 743,Category_F
744,This is a sample text for document 744,Category_G
745,This is a sample text for document 745,Category_E
746,This is a sample text for document 746,Category_F
747,This is a sample text for document 747,Category_A
748,This is a sample text for document 748,Category_C
749,This is a sample text for document 749,Category_A
750,This is a sample text for document 750,Category_G
751,This is a sample text for document 751,Category_E
752,This is a sample text for document 752,Category_C
753,This is a sample text for document 753,Category_C
754,This is a sample text for document 754,Category_F
755,This is a sample text for document 755,Category_B
756,This is a sample text for document 756,Category_C
757,This is a sample text for document 757,Category_C
758,This is a sample text for document 758,Category_A
759,This is a sample text for document 759,Category_E
760,This is a sample text for document 760,Category_B
761,This is a sample text for document 761,Category_E
762,This is a sample text for document 762,Category_G
763,This is a sample text for document 763,Category_D
764,This is a sample text for document 764,Category_E
765,This is a sample text for document 765,Category_A
766,This is a sample text for document 766,Category_B
767,This is a sample text for document 767,Category_G
768,This is a sample text for document 768,Category_G
769,This is a sample text for document 769,Category_C
770,This is a sample text for document 770,Category_D
771,This is a sample text for document 771,Category_F
772,This is a sample text for document 772,Category_F
773,This is a sample text for document 773,Category_G
774,This is a sample text for document 774,Category_D
775,This is a sample text for document 775,Category_F
776,This is a sample text for document 776,Category_G
777,This is a sample text for document 777,Category_D
